stockorg_code,sku_code,dt,begin_stock_qty,demand_qty,production_qty,trans_in_qty,trans_out_qty,safety_stock_qty,todo_qty,end_stock_qty
warehouse.NJD,31728040034000001,2024-04-01,4.830,26.400,0.000,30.593,0.000,0.000,0.000,9.023
warehouse.QNC,31010057735000000,2024-04-01,817.087,954.120,954.120,0.000,3.000,0.000,140.033,0.000
warehouse.LSD,31010055976000000,2024-04-01,58.086,86.000,0.000,36.653,0.000,0.000,0.000,8.739
warehouse.HBA,31013087731000000,2024-04-01,88.682,267.000,0.000,208.125,0.000,0.000,0.000,29.806
warehouse.SHC,31010000013120002,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.WHC,31716690013000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HRA,31010030047181005,2024-04-01,3.780,17.840,0.000,14.060,0.000,0.000,0.000,0.000
warehouse.XDF,31010900017000000,2024-04-01,73.258,180.010,0.000,183.740,0.000,0.000,0.000,76.988
warehouse.LCA,31011260024000000,2024-04-01,425.058,2278.600,2278.600,0.000,0.000,0.000,1853.542,0.000
warehouse.CZC,31710002226000200,2024-04-01,0.924,1.000,0.000,0.000,0.000,0.000,0.076,0.000
warehouse.XDF,31717194419000000,2024-04-01,13.908,0.000,0.000,0.000,0.000,0.000,0.000,13.908
warehouse.YTF,31010051995230054,2024-04-01,100.000,356.760,356.760,0.000,0.000,0.000,256.760,0.000
warehouse.HRA,31015580005172000,2024-04-01,2.268,8.550,0.000,8.484,0.000,0.000,0.000,2.202
warehouse.WHC,31010000273000000,2024-04-01,0.000,12.600,12.600,0.000,143.617,0.000,156.217,0.000
warehouse.GAA,31010030014000000,2024-04-01,0.000,1.260,0.000,0.000,0.000,0.000,1.260,0.000
warehouse.GSC,31010051995000000,2024-04-01,703.416,3168.380,3168.380,0.000,0.000,0.000,2464.964,0.000
warehouse.BZC,31010084578000000,2024-04-01,7.033,2.460,2.460,0.000,0.000,0.000,0.000,4.573
warehouse.SHC,31A50000002000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.ZYC,31010070052000000,2024-04-01,4.223,0.000,0.000,0.000,0.000,0.000,0.000,4.223
warehouse.YCD,31010081163000000,2024-04-01,4.253,0.000,0.000,0.000,0.000,0.000,0.000,4.253
warehouse.BZC,31011980012000000,2024-04-01,71.774,496.410,0.000,479.413,0.000,0.000,0.000,54.777
